Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,City,Gender,Country,Clicked on Ad
68.95,35,61833.9,256.09,Wrightburgh,Female,Tunisia,0
,31,68441.85,193.77,West Jodi,Male,Nauru,0
69.47,26,59785.94,236.5,Davidton,Female,San Marino,0
74.15,29,54806.18,245.89,West Terrifurt,Male,Italy,0
68.37,35,73889.99,225.58,South Manuel,Female,Iceland,0
59.99,23,59761.56,226.74,,Male,Norway,0
88.91,33,53852.85,208.36,Brandonstad,Female,Myanmar,0
,48,24593.33,131.76,Port Jefferybury,Male,Australia,1
74.53,30,,221.51,West Colin,Male,Grenada,0
69.88,20,55642.32,183.82,Ramirezton,Male,Ghana,0
47.64,49,45632.51,122.02,West Brandonton,Female,Qatar,1
83.07,37,62491.01,230.87,,Male,Burundi,0
69.57,48,51636.92,113.12,West Katiefurt,Male,Egypt,1
79.52,24,51739.63,214.23,North Tara,Female,Bosnia and Herzegovina,0
42.95,33,30976,143.56,West William,Female,Barbados,1
63.45,23,52182.23,140.64,New Travistown,Male,Spain,1
55.39,37,23936.86,129.41,,Female,Palestinian Territory,1
82.03,41,71511.08,187.53,Pruittmouth,Female,Afghanistan,0
54.7,36,31087.54,118.39,Jessicastad,Male,British Indian Ocean Territory (Chagos Archipelago),1
74.58,40,,135.51,Millertown,Male,Russian Federation,1
77.22,30,64802.33,224.44,,Male,Cameroon,0
84.59,35,60015.57,226.54,Lake Nicole,Male,Cameroon,0
41.49,52,32635.7,164.83,South John,Female,Burundi,1
87.29,36,61628.72,209.93,Pamelamouth,Male,Korea,0
41.39,41,68962.32,167.22,Harperborough,Female,Tokelau,1
78.74,28,64828,204.79,Port Danielleberg,Male,Monaco,0
48.53,28,38067.08,134.14,West Jeremyside,Male,Tuvalu,1
51.95,52,58295.82,129.23,South Cathyfurt,Female,Greece,1
70.2,34,32708.94,119.2,Palmerside,Female,British Virgin Islands,1
76.02,22,46179.97,209.82,West Guybury,Female,Bouvet Island (Bouvetoya),0
67.64,35,51473.28,267.01,Phelpschester,Male,Peru,0
86.41,28,45593.93,207.48,Lake Melindamouth,Male,Aruba,0
59.05,57,25583.29,169.23,,Male,Maldives,1
55.6,23,30227.98,212.58,Port Cassie,Female,Senegal,1
57.64,57,45580.92,133.81,New Thomas,Male,Dominica,1
84.37,30,61389.5,201.58,Johnstad,Female,Luxembourg,0
62.26,53,56770.79,125.45,West Aprilport,Male,Montenegro,1
65.82,39,76435.3,221.94,Kellytown,Female,Ukraine,0
50.43,46,57425.87,119.32,Charlesport,Male,Saint Helena,1
38.93,39,27508.41,162.08,Millerchester,Female,Liberia,1
84.98,29,,202.61,Mackenziemouth,Female,Russian Federation,0
64.24,30,59784.18,252.36,Zacharystad,Female,Tunisia,0
82.52,32,66572.39,198.11,North Joshua,Male,,0
81.38,31,64929.61,212.3,Bowenview,Female,Saint Helena,0
80.47,25,57519.64,204.86,Jamesberg,Female,Niger,0
37.68,52,53575.48,172.83,Lake Cassandraport,Male,Turkmenistan,1
69.62,20,50983.75,202.25,New Sharon,Male,Qatar,0
85.4,43,67058.72,198.72,Johnport,Female,Sri Lanka,0
44.33,37,,123.72,Hamiltonfort,Male,Trinidad and Tobago,1
48.01,46,54286.1,119.93,West Christopher,Female,Italy,1
73.18,23,61526.25,196.71,Hollandberg,Male,British Virgin Islands,0
79.94,28,58526.04,225.29,Odomville,Female,United Kingdom,0
